"","score","method","forest"
"rpart252",6.96354975745808,"rpart","DECISION TREE"
"rpart253",12.2392534754974,"rpart","DECISION TREE"
"rpart254",8.55181413799265,"rpart","DECISION TREE"
"rpart255",10.0952037349772,"rpart","DECISION TREE"
"rpart256",9.5775207850089,"rpart","DECISION TREE"
"rpart257",9.68778024155045,"rpart","DECISION TREE"
"rpart258",8.85587699334149,"rpart","DECISION TREE"
"rpart259",11.418359565054,"rpart","DECISION TREE"
"rpart260",11.5951391942184,"rpart","DECISION TREE"
"rpart261",9.30984271916146,"rpart","DECISION TREE"
"rpart262",9.07462161514678,"rpart","DECISION TREE"
"rpart263",10.3975684394679,"rpart","DECISION TREE"
"rpart264",8.8909643195883,"rpart","DECISION TREE"
"rpart265",10.067561903125,"rpart","DECISION TREE"
"rpart266",9.60020084224112,"rpart","DECISION TREE"
"rpart267",10.5617510864813,"rpart","DECISION TREE"
"rpart268",9.29814938184692,"rpart","DECISION TREE"
"rpart269",9.20740584949538,"rpart","DECISION TREE"
"rpart270",7.96654920650107,"rpart","DECISION TREE"
"rpart271",8.59263784474473,"rpart","DECISION TREE"
"rpart272",9.83695772589738,"rpart","DECISION TREE"
"rpart273",10.9963697493114,"rpart","DECISION TREE"
"rpart274",9.38471575606591,"rpart","DECISION TREE"
"rpart275",9.9081129634449,"rpart","DECISION TREE"
"rpart276",9.15966438616496,"rpart","DECISION TREE"
"rpart277",8.42495674912557,"rpart","DECISION TREE"
"rpart278",9.71184819208759,"rpart","DECISION TREE"
"rpart279",7.99120260090631,"rpart","DECISION TREE"
"rpart280",10.4979085315243,"rpart","DECISION TREE"
"rpart281",9.59727669106374,"rpart","DECISION TREE"
"rpart282",8.77079700550597,"rpart","DECISION TREE"
"rpart283",10.2147778538445,"rpart","DECISION TREE"
"rpart284",8.14610253230138,"rpart","DECISION TREE"
"rpart285",11.7866172342166,"rpart","DECISION TREE"
"rpart286",8.96746540409152,"rpart","DECISION TREE"
"rpart287",10.3195552501832,"rpart","DECISION TREE"
"rpart288",8.59632346077866,"rpart","DECISION TREE"
"rpart289",9.48195096824656,"rpart","DECISION TREE"
"rpart290",10.1826324674137,"rpart","DECISION TREE"
"rpart291",10.238275261936,"rpart","DECISION TREE"
"rpart292",10.7565940920628,"rpart","DECISION TREE"
"rpart293",9.58449655703138,"rpart","DECISION TREE"
"rpart294",9.93986980811522,"rpart","DECISION TREE"
"rpart295",10.7223014288097,"rpart","DECISION TREE"
"rpart296",8.54173791782332,"rpart","DECISION TREE"
"rpart297",10.3351166104263,"rpart","DECISION TREE"
"rpart298",8.22689663058276,"rpart","DECISION TREE"
"rpart299",10.9921061414921,"rpart","DECISION TREE"
"rpart300",8.6306587042878,"rpart","DECISION TREE"
"rpart301",11.3246602733715,"rpart","DECISION TREE"
"rpart302",10.7392739939095,"rpart","DECISION TREE"
"rpart303",10.055549370463,"rpart","DECISION TREE"
"rpart304",7.89845163215985,"rpart","DECISION TREE"
"rpart305",9.64600652097746,"rpart","DECISION TREE"
"rpart306",10.2147704731706,"rpart","DECISION TREE"
"rpart307",10.3836804954762,"rpart","DECISION TREE"
"rpart308",10.2081316154094,"rpart","DECISION TREE"
"rpart309",9.94621912781978,"rpart","DECISION TREE"
"rpart310",10.3829731528523,"rpart","DECISION TREE"
"rpart311",8.78300500475694,"rpart","DECISION TREE"
"rpart312",10.8366217705758,"rpart","DECISION TREE"
"rpart313",8.90589747283602,"rpart","DECISION TREE"
"rpart314",10.9965849847827,"rpart","DECISION TREE"
"rpart315",8.32501207862017,"rpart","DECISION TREE"
"rpart316",11.3361528738278,"rpart","DECISION TREE"
"rpart317",9.61594267888844,"rpart","DECISION TREE"
"rpart318",10.6814340934258,"rpart","DECISION TREE"
"rpart319",9.80037243940356,"rpart","DECISION TREE"
"rpart320",9.52971220139995,"rpart","DECISION TREE"
"rpart321",9.07190010600406,"rpart","DECISION TREE"
"rpart322",9.35943476704803,"rpart","DECISION TREE"
"rpart323",9.09648089684379,"rpart","DECISION TREE"
"rpart324",9.83064493450568,"rpart","DECISION TREE"
"rpart325",11.5314125372502,"rpart","DECISION TREE"
"rpart326",9.62836560241652,"rpart","DECISION TREE"
"rpart327",11.5969800308889,"rpart","DECISION TREE"
"rpart328",8.82087167396399,"rpart","DECISION TREE"
"rpart329",8.11864976439215,"rpart","DECISION TREE"
"rpart330",10.0985792971685,"rpart","DECISION TREE"
"rpart331",10.9662556881131,"rpart","DECISION TREE"
"rpart332",8.99658508753449,"rpart","DECISION TREE"
"rpart333",9.37282264254586,"rpart","DECISION TREE"
"rpart334",8.07646829575657,"rpart","DECISION TREE"
"rpart335",9.97724318097474,"rpart","DECISION TREE"
"rpart336",8.94909669490312,"rpart","DECISION TREE"
"rpart337",11.2062509070106,"rpart","DECISION TREE"
"rpart338",8.41895297905005,"rpart","DECISION TREE"
"rpart339",9.71349755710108,"rpart","DECISION TREE"
"rpart340",10.644427476548,"rpart","DECISION TREE"
"rpart341",9.32003038587591,"rpart","DECISION TREE"
"rpart342",9.75777317937141,"rpart","DECISION TREE"
"rpart343",10.5968199577085,"rpart","DECISION TREE"
"rpart344",9.53402757543251,"rpart","DECISION TREE"
"rpart345",8.29805532745734,"rpart","DECISION TREE"
"rpart346",11.5999719211586,"rpart","DECISION TREE"
"rpart347",9.26096579632042,"rpart","DECISION TREE"
"rpart348",10.80012021984,"rpart","DECISION TREE"
"rpart349",8.79502641645138,"rpart","DECISION TREE"
"rpart350",8.91265822615035,"rpart","DECISION TREE"
"rpart351",10.7790328233419,"rpart","DECISION TREE"
"rpart352",8.91760596608485,"rpart","DECISION TREE"
"rpart353",12.2510659270348,"rpart","DECISION TREE"
"rpart354",10.2540100255133,"rpart","DECISION TREE"
"rpart355",9.09274179778597,"rpart","DECISION TREE"
"rpart356",11.9896448094531,"rpart","DECISION TREE"
"rpart357",11.1122482669272,"rpart","DECISION TREE"
"rpart358",10.8179378864463,"rpart","DECISION TREE"
"rpart359",11.4215414795776,"rpart","DECISION TREE"
"rpart360",11.4715757064032,"rpart","DECISION TREE"
"rpart361",10.6547942781874,"rpart","DECISION TREE"
"rpart362",10.5933624508452,"rpart","DECISION TREE"
"rpart363",8.08054812375494,"rpart","DECISION TREE"
"rpart364",10.2637887645503,"rpart","DECISION TREE"
"rpart365",9.99701200868079,"rpart","DECISION TREE"
"rpart366",11.3817772253181,"rpart","DECISION TREE"
"rpart367",8.90276595160524,"rpart","DECISION TREE"
"rpart368",9.11699792436099,"rpart","DECISION TREE"
"rpart369",9.36923599500357,"rpart","DECISION TREE"
"rpart370",10.1792549735597,"rpart","DECISION TREE"
"rpart371",7.89359416494761,"rpart","DECISION TREE"
"rpart372",8.23200939910076,"rpart","DECISION TREE"
"rpart373",8.54810217382023,"rpart","DECISION TREE"
"rpart374",9.7734887107934,"rpart","DECISION TREE"
"rpart375",9.38162095878684,"rpart","DECISION TREE"
"rpart376",9.62601583227577,"rpart","DECISION TREE"
"rpart377",9.52675434515051,"rpart","DECISION TREE"
"rpart378",9.33770784223598,"rpart","DECISION TREE"
"rpart379",7.8195512129928,"rpart","DECISION TREE"
"rpart380",8.98118059780865,"rpart","DECISION TREE"
"rpart381",8.13444885582908,"rpart","DECISION TREE"
"rpart382",8.8044979990119,"rpart","DECISION TREE"
"rpart383",8.144247501943,"rpart","DECISION TREE"
"rpart384",7.67927888417528,"rpart","DECISION TREE"
"rpart385",8.69415590320716,"rpart","DECISION TREE"
"rpart386",10.7789161601358,"rpart","DECISION TREE"
"rpart387",7.70128592879827,"rpart","DECISION TREE"
"rpart388",7.74893479643364,"rpart","DECISION TREE"
"rpart389",10.1085775007283,"rpart","DECISION TREE"
"rpart390",10.0038425446619,"rpart","DECISION TREE"
"rpart391",8.7530064370561,"rpart","DECISION TREE"
"rpart392",9.311992368035,"rpart","DECISION TREE"
"rpart393",9.92962015260269,"rpart","DECISION TREE"
"rpart394",9.69272261450569,"rpart","DECISION TREE"
"rpart395",11.9582301608032,"rpart","DECISION TREE"
"rpart396",9.50691219328358,"rpart","DECISION TREE"
"rpart397",8.05127801777201,"rpart","DECISION TREE"
"rpart398",9.39991060569173,"rpart","DECISION TREE"
"rpart399",8.92875773803861,"rpart","DECISION TREE"
"rpart400",10.8102558813914,"rpart","DECISION TREE"
"rpart401",10.1149686136667,"rpart","DECISION TREE"
"rpart402",10.625886087169,"rpart","DECISION TREE"
"rpart403",9.70491861029384,"rpart","DECISION TREE"
"rpart404",9.149240938947,"rpart","DECISION TREE"
"rpart405",9.45224127543074,"rpart","DECISION TREE"
"rpart406",10.0443317860532,"rpart","DECISION TREE"
"rpart407",9.78302135652716,"rpart","DECISION TREE"
"rpart408",11.3331786072013,"rpart","DECISION TREE"
"rpart409",9.56858194570575,"rpart","DECISION TREE"
"rpart410",10.4512397270352,"rpart","DECISION TREE"
"rpart411",8.57345241991144,"rpart","DECISION TREE"
"rpart412",10.4307252673577,"rpart","DECISION TREE"
"rpart413",8.58385993804324,"rpart","DECISION TREE"
"rpart414",8.76552732307437,"rpart","DECISION TREE"
"rpart415",8.69950336214512,"rpart","DECISION TREE"
"rpart416",8.94283025122737,"rpart","DECISION TREE"
"rpart417",9.20966407155711,"rpart","DECISION TREE"
"rpart418",8.69234957913313,"rpart","DECISION TREE"
"rpart419",9.28816586023418,"rpart","DECISION TREE"
"rpart420",10.6218397635188,"rpart","DECISION TREE"
"rpart421",10.9723603565043,"rpart","DECISION TREE"
"rpart422",8.71323359156536,"rpart","DECISION TREE"
"rpart423",8.9464433672652,"rpart","DECISION TREE"
"rpart424",10.2304829213038,"rpart","DECISION TREE"
"rpart425",9.98869189073853,"rpart","DECISION TREE"
"rpart426",11.4033620122949,"rpart","DECISION TREE"
"rpart427",8.93081257721663,"rpart","DECISION TREE"
"rpart428",9.90048232868099,"rpart","DECISION TREE"
"rpart429",9.1255359518409,"rpart","DECISION TREE"
"rpart430",12.7136416341188,"rpart","DECISION TREE"
"rpart431",9.29110734929089,"rpart","DECISION TREE"
"rpart432",11.1793594230282,"rpart","DECISION TREE"
"rpart433",9.3363488779247,"rpart","DECISION TREE"
"rpart434",9.35156688389477,"rpart","DECISION TREE"
"rpart435",9.58983096164085,"rpart","DECISION TREE"
"rpart436",8.96387522365184,"rpart","DECISION TREE"
"rpart437",10.7845468155873,"rpart","DECISION TREE"
"rpart438",9.53973697428666,"rpart","DECISION TREE"
"rpart439",10.315491313491,"rpart","DECISION TREE"
"rpart440",10.6481682830674,"rpart","DECISION TREE"
"rpart441",9.26194707551766,"rpart","DECISION TREE"
"rpart442",8.71444353288759,"rpart","DECISION TREE"
"rpart443",8.76176615783905,"rpart","DECISION TREE"
"rpart444",7.6918408047117,"rpart","DECISION TREE"
"rpart445",8.80168644587672,"rpart","DECISION TREE"
"rpart446",9.81746168031037,"rpart","DECISION TREE"
"rpart447",9.96642369343256,"rpart","DECISION TREE"
"rpart448",11.8403712079715,"rpart","DECISION TREE"
"rpart449",11.6219367410623,"rpart","DECISION TREE"
"rpart450",7.81238876071386,"rpart","DECISION TREE"
"rpart451",10.3743257868906,"rpart","DECISION TREE"
"rpart452",10.5480087232374,"rpart","DECISION TREE"
"rpart453",9.63331232807749,"rpart","DECISION TREE"
"rpart454",10.3288184292815,"rpart","DECISION TREE"
"rpart455",9.48209672840078,"rpart","DECISION TREE"
"rpart456",8.99191977279372,"rpart","DECISION TREE"
"rpart457",9.21397229417984,"rpart","DECISION TREE"
"rpart458",10.0579322431154,"rpart","DECISION TREE"
"rpart459",10.4169159805823,"rpart","DECISION TREE"
"rpart460",9.9958281753048,"rpart","DECISION TREE"
"rpart461",9.70620077756383,"rpart","DECISION TREE"
"rpart462",11.2488052479827,"rpart","DECISION TREE"
"rpart463",11.4257946909994,"rpart","DECISION TREE"
"rpart464",9.0052636623432,"rpart","DECISION TREE"
"rpart465",12.9781000984201,"rpart","DECISION TREE"
"rpart466",8.25583890248496,"rpart","DECISION TREE"
"rpart467",11.8717338587134,"rpart","DECISION TREE"
"rpart468",10.1091295589174,"rpart","DECISION TREE"
"rpart469",9.52465007168824,"rpart","DECISION TREE"
"rpart470",10.3674167965785,"rpart","DECISION TREE"
"rpart471",8.54794617499876,"rpart","DECISION TREE"
"rpart472",7.52233342969019,"rpart","DECISION TREE"
"rpart473",10.2865576100495,"rpart","DECISION TREE"
"rpart474",10.7684246106367,"rpart","DECISION TREE"
"rpart475",9.07841496439161,"rpart","DECISION TREE"
"rpart476",9.65338792055527,"rpart","DECISION TREE"
"rpart477",8.36831857245845,"rpart","DECISION TREE"
"rpart478",8.15559816877681,"rpart","DECISION TREE"
"rpart479",8.59028380670246,"rpart","DECISION TREE"
"rpart480",8.50972139025673,"rpart","DECISION TREE"
"rpart481",8.58725420399663,"rpart","DECISION TREE"
"rpart482",9.65656586649879,"rpart","DECISION TREE"
"rpart483",9.31311343930281,"rpart","DECISION TREE"
"rpart484",10.091311076417,"rpart","DECISION TREE"
"rpart485",8.89934017509616,"rpart","DECISION TREE"
"rpart486",8.25137406438263,"rpart","DECISION TREE"
"rpart487",11.9654100695289,"rpart","DECISION TREE"
"rpart488",9.33919660906558,"rpart","DECISION TREE"
"rpart489",9.30643184003513,"rpart","DECISION TREE"
"rpart490",9.02934612356515,"rpart","DECISION TREE"
"rpart491",8.48118488663565,"rpart","DECISION TREE"
"rpart492",9.7479022884859,"rpart","DECISION TREE"
"rpart493",10.3160620747351,"rpart","DECISION TREE"
"rpart494",9.7965265898652,"rpart","DECISION TREE"
"rpart495",11.5981125758526,"rpart","DECISION TREE"
"rpart496",9.78847781229346,"rpart","DECISION TREE"
"rpart497",9.4308001627366,"rpart","DECISION TREE"
"rpart498",9.53292131193038,"rpart","DECISION TREE"
"rpart499",9.69795149386012,"rpart","DECISION TREE"
