"V1" "V2" "V3" "V4" "V5" "V6" "V7"
10858.0543581384 3835.01333904607 2994.00749583326 1132.32768057002 316.278606937452 295.801974020616 149.835534891031
14417.0029649205 4103.82111366054 2432.30836561035 1418.20582687317 479.106695076635 288.925521083784 184.148372904541
11925.7043350719 4202.70604495898 2809.17593817958 1116.66073125124 614.93649906237 359.372530201878 184.871559733715
9137.50755855836 4985.673510231 3304.04081204205 721.511336141115 347.631122499785 248.85338834629 202.568651356108
16117.6204981558 4027.18053019805 2117.66314138726 829.158277013385 709.16858621546 202.212383514204 118.188126430284
8546.34612727223 3878.35529155513 3742.00366380903 1086.47216005422 390.440719940197 306.06770192961 136.906171843079
5997.72722189252 2129.71431068183 2389.75422820026 1231.34727539776 382.084791789181 189.574571154381 222.162484191826
11042.9953466657 2240.88011464656 1985.32117215692 945.544873527165 296.464851946758 315.629805788873 151.747652975846
12326.0539312595 3207.37980921466 1940.91357686085 1218.21838502495 286.253553844334 493.973140451447 223.876795872404
7479.15666746341 2504.71624195054 1769.60454954429 942.413530693712 466.350940335961 269.760313565809 171.423260716596
8663.542516058 3925.42101358118 1540.2412691532 816.869292868089 471.640069907817 370.48816470022 188.202414230031
10873.6333543689 6512.83412301267 1360.67998987734 891.261018189932 409.80884751925 275.762067209031 110.994423434848
12180.0753208229 4074.74920952748 3310.97442548578 990.114537857677 677.251159643335 290.300104471847 164.419657484452
11297.8343933977 2228.90370785422 2709.65725484796 1194.07918112212 550.487509757455 394.731997678231 113.414666129688
11457.2015486271 4219.21893448061 3811.53657967665 1110.11552414695 774.309268555117 276.011233144396 245.15255250763
8316.86472167543 8104.24851913708 2885.10090458486 1638.88746543032 817.591195917423 398.967450624659 145.517671419926
9538.51076092195 2379.08209622887 2098.82189810774 943.742149677821 398.011151143064 295.944075116951 280.988074797667
7326.49517195141 3779.592312018 2790.5336058033 1278.45897462739 321.159090710351 293.696867307916 161.871207048596
10658.6234530694 4961.0118449572 3315.63886326188 1349.06866212552 581.188795731209 413.202710930712 206.897555647104
9413.68725348815 2332.17005946513 2184.66729384551 1399.49833072986 556.364330917297 187.576941549132 178.973783336311
12260.0706390353 4437.32716192017 2280.31102705712 1102.97527088369 696.04263017052 247.744670668875 159.174528859896
12851.6250937829 3139.0487774605 1671.98169268387 848.818075760157 497.501762582476 241.539369912478 132.797134212071
7710.26268881052 4650.79833264422 1598.97525829257 1388.15233776786 580.659420774999 304.112515759846 202.153350418136
10074.6439461605 4822.0945115742 1388.6680693628 1102.50843332011 508.933444347248 272.696553838806 167.532396151194
11370.4852061671 4985.02265644887 2330.20118566157 1253.88999877278 852.844030589691 195.604159033315 134.058319844836
12874.5717765773 2730.69846352244 1567.84190967373 782.658018674268 497.13689799138 351.022850601834 269.51239936992
8877.80268057846 2525.22892025774 1284.93882786671 1389.1934869804 761.311889152831 247.874493040781 155.429259488877
10601.4199122196 2679.50485828799 1806.53956999998 1436.12624994933 824.444802861577 497.376224845449 187.341731382174
