"","score","method","forest"
"rpart268",17.1991596852934,"rpart","DECISION TREE"
"rpart269",18.7571681369727,"rpart","DECISION TREE"
"rpart270",22.1525793199218,"rpart","DECISION TREE"
"rpart271",20.6156780609102,"rpart","DECISION TREE"
"rpart272",21.1623922658906,"rpart","DECISION TREE"
"rpart273",21.6771262766598,"rpart","DECISION TREE"
"rpart274",20.7028072401897,"rpart","DECISION TREE"
"rpart275",20.3497984409175,"rpart","DECISION TREE"
"rpart276",21.395875594052,"rpart","DECISION TREE"
"rpart277",20.1323133673849,"rpart","DECISION TREE"
"rpart278",20.2838200140084,"rpart","DECISION TREE"
"rpart279",21.1564625153832,"rpart","DECISION TREE"
"rpart280",20.0799485156651,"rpart","DECISION TREE"
"rpart281",22.0677901837517,"rpart","DECISION TREE"
"rpart282",21.1849598267615,"rpart","DECISION TREE"
"rpart283",22.8624246621233,"rpart","DECISION TREE"
"rpart284",20.7732075673074,"rpart","DECISION TREE"
"rpart285",18.8558220059893,"rpart","DECISION TREE"
"rpart286",20.139090805276,"rpart","DECISION TREE"
"rpart287",20.0654494963107,"rpart","DECISION TREE"
"rpart288",19.1948475440456,"rpart","DECISION TREE"
"rpart289",18.364602612146,"rpart","DECISION TREE"
"rpart290",18.9825205449236,"rpart","DECISION TREE"
"rpart291",24.5657696263557,"rpart","DECISION TREE"
"rpart292",21.1253093184043,"rpart","DECISION TREE"
"rpart293",21.279208907768,"rpart","DECISION TREE"
"rpart294",23.141807962791,"rpart","DECISION TREE"
"rpart295",20.9148569056347,"rpart","DECISION TREE"
"rpart296",23.3039607437931,"rpart","DECISION TREE"
"rpart297",22.3343857838386,"rpart","DECISION TREE"
"rpart298",17.9868624169854,"rpart","DECISION TREE"
"rpart299",20.5610383885042,"rpart","DECISION TREE"
"rpart300",21.3674846124605,"rpart","DECISION TREE"
"rpart301",19.6679434989327,"rpart","DECISION TREE"
"rpart302",19.3870298242423,"rpart","DECISION TREE"
"rpart303",23.710037426714,"rpart","DECISION TREE"
"rpart304",18.2974869694155,"rpart","DECISION TREE"
"rpart305",23.4893105501925,"rpart","DECISION TREE"
"rpart306",22.0138028782063,"rpart","DECISION TREE"
"rpart307",21.4193004415575,"rpart","DECISION TREE"
"rpart308",21.1459601258527,"rpart","DECISION TREE"
"rpart309",20.6813802480492,"rpart","DECISION TREE"
"rpart310",22.5206307839648,"rpart","DECISION TREE"
"rpart311",18.9602275710086,"rpart","DECISION TREE"
"rpart312",21.2574766324741,"rpart","DECISION TREE"
"rpart313",18.8318538768302,"rpart","DECISION TREE"
"rpart314",18.9964952685455,"rpart","DECISION TREE"
"rpart315",22.0459605263264,"rpart","DECISION TREE"
"rpart316",22.3259122969428,"rpart","DECISION TREE"
"rpart317",19.6315130231348,"rpart","DECISION TREE"
"rpart318",19.986917187168,"rpart","DECISION TREE"
"rpart319",22.212153442225,"rpart","DECISION TREE"
"rpart320",23.8376467329065,"rpart","DECISION TREE"
"rpart321",18.6428105777196,"rpart","DECISION TREE"
"rpart322",22.3305780603795,"rpart","DECISION TREE"
"rpart323",20.5021605215264,"rpart","DECISION TREE"
"rpart324",21.4265621407325,"rpart","DECISION TREE"
"rpart325",20.4349438868745,"rpart","DECISION TREE"
"rpart326",21.8491650129141,"rpart","DECISION TREE"
"rpart327",23.1914615687594,"rpart","DECISION TREE"
"rpart328",19.8830161207236,"rpart","DECISION TREE"
"rpart329",18.1945468525002,"rpart","DECISION TREE"
"rpart330",22.9907863102524,"rpart","DECISION TREE"
"rpart331",24.2731818078791,"rpart","DECISION TREE"
"rpart332",19.0079727732539,"rpart","DECISION TREE"
"rpart333",22.4189089478657,"rpart","DECISION TREE"
"rpart334",18.2043225343254,"rpart","DECISION TREE"
"rpart335",21.8920926385738,"rpart","DECISION TREE"
"rpart336",19.1691824653464,"rpart","DECISION TREE"
"rpart337",21.1313297959417,"rpart","DECISION TREE"
"rpart338",21.1106197647336,"rpart","DECISION TREE"
"rpart339",21.747882975063,"rpart","DECISION TREE"
"rpart340",23.3721612279701,"rpart","DECISION TREE"
"rpart341",23.649773904569,"rpart","DECISION TREE"
"rpart342",19.8842461802784,"rpart","DECISION TREE"
"rpart343",21.3874357884938,"rpart","DECISION TREE"
"rpart344",21.3076978803167,"rpart","DECISION TREE"
"rpart345",19.1733169696966,"rpart","DECISION TREE"
"rpart346",25.2910545890084,"rpart","DECISION TREE"
"rpart347",18.5569177750825,"rpart","DECISION TREE"
"rpart348",23.2640415658758,"rpart","DECISION TREE"
"rpart349",22.2006173299415,"rpart","DECISION TREE"
"rpart350",19.1361518249427,"rpart","DECISION TREE"
"rpart351",20.6287689295457,"rpart","DECISION TREE"
"rpart352",22.3539997436312,"rpart","DECISION TREE"
"rpart353",23.4936052784733,"rpart","DECISION TREE"
